player_id,team_id,team_name,name,games_played,position_rank,average_points,total_points,receptions,rec_yards,rec_TD,avg_receptions,rec_yards_per_game,targets,fumbles_lost,total_TD
1,10,Panthers,Dan Arnold,15,23,5.95,89.2,28,392,4,1.9,26.1,42,1,4
2,9,Falcons,Hayden Hurst,15,15,9.09,136.3,52,543,5,3.5,36.2,81,0,5
3,21,Ravens,Mark Andrews,13,6,12.57,163.4,54,674,7,4.2,51.8,82,0,7
4,21,Ravens,Nick Boyle,9,55,4.14,37.3,14,113,2,1.6,12.6,17,0,2
5,17,Bils,Dawson Knox,11,38,5.63,61.9,22,259,3,2,23.5,36,2,3
6,20,Jets,Tyler Kroft,10,49,4.19,41.9,12,119,3,1.2,11.9,16,0,3
7,10,Panthers,Ian Thomas,15,51,2.64,39.6,19,146,1,1.3,9.7,28,0,1
8,5,Bears,Cole Kmet,15,45,3.53,52.9,21,202,2,1.4,13.5,36,0,2
9,5,Bears,Jimmy Graham,15,11,9.41,141.1,48,451,8,3.2,30.1,74,0,8
10,22,Bengals,Drew Sample,15,31,5.03,75.4,38,334,1,2.5,22.3,50,1,1
11,23,Browns,Austin Hooper,12,21,8.32,99.8,42,398,3,3.5,33.2,65,0,3
12,23,Browns,David Njoku,12,47,4.08,49,17,200,2,1.4,16.7,24,0,2
13,23,Browns,Harrison Bryant,15,39,4.12,61.8,24,238,3,1.6,15.9,38,2,3
14,1,Cowboys,Dalton Schultz,15,16,8.83,132.5,56,545,4,3.7,36.3,79,1,4
15,28,Broncos,Noah Fant,14,12,10.04,140.5,58,625,3,4.1,44.6,87,0,3
16,6,Lions,TJ Hockenson,15,3,11.32,169.8,64,698,6,4.3,46.5,98,1,6
17,7,Packers,Robert Tonyan,15,4,11.12,166.8,50,568,10,3.3,38.9,57,0,10
18,25,Texans,Jordan Akins,12,26,6.82,81.8,36,394,1,3,32.8,47,0,1
19,6,Lions,Darren Fells,15,30,5.08,76.2,21,312,4,1.4,20.8,28,0,4
20,26,Colts,Jack Doyle,13,40,4.57,59.4,20,234,3,1.5,18,30,1,3
21,26,Colts,Trey Burton,12,25,6.94,83.3,28,250,3,2.3,20.8,47,0,5
22,26,Colts,Mo Alie-Cox,14,28,5.74,80.4,31,394,2,2.2,28.1,39,1,2
23,27,Jaguars,Tyler Eifert,14,27,5.78,80.9,35,339,2,2.5,24.2,58,0,2
24,27,Jaguars,James Oshaughnessy,14,46,3.73,52.2,27,252,0,1.9,18,37,0,0
25,30,Chiefs,Travis Kelce,15,1,20.85,312.76,105,1416,11,7,94.4,145,1,11
26,19,Patriots,Hunter Henry,14,8,10.38,145.3,60,613,4,4.3,43.8,93,0,4
27,14,Rams,Tyler Higbee,14,17,8.65,121.1,41,480,5,2.9,34.3,56,0,5
28,16,Seahawks,Gerald Everett,15,24,5.89,88.4,39,392,1,2.6,26.1,55,1,1
29,31,Raiders,Darren Waller,15,2,16.79,251.9,98,1079,8,6.5,71.9,135,1,8
30,18,Dolphins,Mike Gesicki,14,7,10.69,149.6,48,656,6,3.4,46.9,75,0,6
31,8,Vikings,Irv Smith,12,22,7.79,93.5,28,335,5,2.3,27.9,40,0,5
32,2,Giants,Kyle Rudolph,12,36,5.45,65.4,28,334,1,2.3,27.8,37,1,1
33,32,Chargers,Jared Cook,14,19,8.08,113.1,33,461,6,2.4,32.9,55,1,6
34,2,Giants,Evan Engram,15,14,9.15,137.3,61,637,1,4.1,42.5,105,1,2
35,20,Jets,Chris Herndon,15,42,3.63,54.4,24,224,2,1.6,14.9,36,2,2
36,3,Eagles,Dallas Goedert,11,33,7.29,72.9,46,524,3,4.2,47.6,65,0,3
37,3,Eagles,Zach Ertz,10,18,10.58,116.4,33,319,1,3.3,31.9,66,0,1
38,3,Eagles,Richard Rodgers,14,34,5.04,70.5,24,345,2,1.7,24.6,31,0,2
39,24,Steelers,Eric Ebron,15,10,9.45,141.8,56,558,5,3.7,37.2,91,1,5
40,15,49ers,George Kittle,7,20,15.9,111.3,41,566,2,5.9,80.9,54,0,2
41,15,49ers,Jordan Reed,10,32,7.31,73.1,26,231,4,2.6,23.1,46,0,4
42,16,Seahawks,Greg Olsen,11,43,4.9,53.9,24,239,1,2.2,21.7,37,0,1
43,16,Seahawks,Jacob Hollister,15,37,4.29,64.3,24,203,3,1.6,13.5,37,0,3
44,16,Seahawks,Will Dissly,15,41,3.87,58.1,23,231,2,1.5,15.4,27,0,2
45,12,Bucs,Rob Gronkowski,15,9,9.63,144.4,43,594,7,2.9,39.6,73,0,7
46,12,Bucs,Cameron Brate,15,35,4.41,66.1,27,271,2,1.8,18.1,32,0,2
47,19,Patriots,Jonnu Smith,14,13,9.89,138.4,40,440,8,2.9,31.4,63,0,9
48,28,Titans,Anthony Firkser,15,29,5.33,79.9,37,369,1,2.5,24.6,51,0,1
49,4,WFT,Logan Thomas,15,5,10.93,163.92,69,633,5,4.6,42.2,104,0,5
50,9,Falcons,Kyle Pitts,0,0,12.07,193.1,74,857,6,4.6,53.6,0,0,6
